"CMP.Row","Country.Name","Date","CMP.Party.ID","Party.Name","Vote.Pct","Total.Per.Codes","Dimension.Emphasis","Raw.Nicheness.Score","Mean.Nicheness.Score","Standardised.Nicheness.Score"
87,"Sweden","18/09/1994",11220,"Left Party",6.174,176,0,2.2926764729672,1.4439376251534,0.848738847813798
88,"Sweden","18/09/1994",11320,"Social Democratic Labour Party",45.25,206,1.456,1.33606817367856,1.6571637891334,-0.321095615454849
89,"Sweden","18/09/1994",11420,"Liberal People’s Party",7.192,192,2.083,0.0618016837182105,1.62143467674304,-1.55963299302483
90,"Sweden","18/09/1994",11520,"Christian Democratic Community Party",4.068,86,12.791,11.1397539396948,1.05811864105711,10.0816352986376
91,"Sweden","18/09/1994",11620,"Moderate Coalition Party",22.38,199,2.513,0.491671822795968,1.82143200653392,-1.32976018373795
92,"Sweden","18/09/1994",11810,"Centre Party",7.653,165,1.212,1.01149835418038,1.54444514169575,-0.532946787515371
93,"Sweden","21/09/1998",11110,"Green Ecology Party",4.5,72,0,1.34954811625404,1.99816062632909,-0.648612510075056
94,"Sweden","21/09/1998",11220,"Left Party",11.99,331,0,1.46789626507435,2.03842656001492,-0.570530294940575
95,"Sweden","21/09/1998",11320,"Social Democratic Labour Party",36.39,256,0.391,1.43074282904442,2.28876179577429,-0.858018966729873
96,"Sweden","21/09/1998",11420,"Liberal People’s Party",4.72,84,2.381,1.14950776866638,2.00988791585035,-0.860380147183973
97,"Sweden","21/09/1998",11520,"Christian Democrats",11.77,167,7.186,6.70960387714586,1.3164784663682,5.39312541077766
98,"Sweden","21/09/1998",11620,"Moderate Coalition Party",22.9,334,0.299,1.29195194630872,2.1760589146127,-0.884106968303974
99,"Sweden","21/09/1998",11810,"Centre Party",5.13,242,1.653,0.38614045735342,2.05615246735551,-1.67001201000209
100,"Sweden","15/09/2002",11110,"Green Ecology Party",4.646,161,0,2.75466885672467,3.27412222468467,-0.519453367960004
101,"Sweden","15/09/2002",11220,"Left Party",8.388,407,0,2.87115231713243,3.28504660556233,-0.413894288429898
102,"Sweden","15/09/2002",11320,"Social Democratic Labour Party",39.854,273,0.733,3.21011291142792,3.27653593789057,-0.0664230264626489
103,"Sweden","15/09/2002",11420,"Liberal People’s Party",13.394,429,2.331,0.338343346868375,3.71620832122581,-3.37786497435743
104,"Sweden","15/09/2002",11520,"Christian Democrats",9.15,332,15.663,14.4004994927677,2.08617574794895,12.3143237448187
105,"Sweden","15/09/2002",11620,"Moderate Coalition Party",15.256,423,2.836,0.253324765696784,3.8091532285043,-3.55582846280752
106,"Sweden","15/09/2002",11810,"Centre Party",6.193,263,1.14,1.58380978740296,3.36294020034345,-1.77913041294049
107,"Sweden","17/09/2006",11110,"Green Ecology Party",5.244,198,0,3.67419692870694,1.14020560813497,2.53399132057197
108,"Sweden","17/09/2006",11220,"Left Party",5.85,389,1.285,2.32939961797981,1.21176618916153,1.11763342881829
109,"Sweden","17/09/2006",11320,"Social Democratic Labour Party",34.994,393,3.816,0.55017186051607,1.71216204804623,-1.16199018753016
110,"Sweden","17/09/2006",11420,"Liberal People’s Party",7.537,605,1.488,2.15404895725314,1.2052697072567,0.948779249996436
111,"Sweden","17/09/2006",11520,"Christian Democrats",6.593,124,9.677,6.67351191100372,0.875851561018292,5.79766034998542
112,"Sweden","17/09/2006",11620,"Moderate Coalition Party",26.23,858,3.38,0.124575605386434,1.72654899267721,-1.60197338729078
113,"Sweden","17/09/2006",11810,"Centre Party",7.879,314,2.866,0.658977686007773,1.33777923949161,-0.678801553483841
114,"Sweden","19/09/2010",11110,"Green Ecology Party",7.34,262,0.382,3.1053281455502,3.86064763276536,-0.755319487215159
115,"Sweden","19/09/2010",11220,"Left Party",5.6,254,1.182,2.19903355560336,3.90109712508572,-1.70206356948237
116,"Sweden","19/09/2010",11320,"Social Democratic Labour Party",30.66,282,0.355,4.21071554770318,3.62099617063118,0.589719377071998
117,"Sweden","19/09/2010",11420,"Liberal People’s Party",7.06,916,2.402,0.92000152972028,4.02691638769694,-3.10691485797667
118,"Sweden","19/09/2010",11520,"Christian Democrats",5.6,479,9.812,6.95073413637341,3.61491167388856,3.33582246248485
119,"Sweden","19/09/2010",11620,"Moderate Coalition Party",30.06,1896,2.848,0.587154991243433,5.21583070001564,-4.62867570877221
120,"Sweden","19/09/2010",11710,"Sweden Democrats",5.7,204,24.51,22.558226744186,2.65349597502142,19.9047307691646
121,"Sweden","19/09/2010",11810,"Centre Party",6.56,759,0.527,2.92366920234732,3.86719548613835,-0.943526283791036
122,"Sweden","14/09/2014",11110,"Green Ecology Party",6.889,497,6.439,1.01499624794985,4.6236313239396,-3.60863507598975
123,"Sweden","14/09/2014",11220,"Left Party",5.718,360,3.889,1.70985279801306,4.53272332598813,-2.82287052797507
124,"Sweden","14/09/2014",11320,"Social Democratic Labour Party",31.015,543,0.921,6.76295829994452,3.21804799780871,3.54491030213582
125,"Sweden","14/09/2014",11420,"Liberal People’s Party",5.42,436,7.798,2.43891994430139,4.47975705071964,-2.04083710641825
126,"Sweden","14/09/2014",11520,"Christian Democrats",4.57,389,6.169,0.705716697504845,4.54748455761613,-3.84176786011129
127,"Sweden","14/09/2014",11620,"Moderate Coalition Party",23.325,1636,5.989,0.650227136204569,5.55801954196096,-4.90779240575639
128,"Sweden","14/09/2014",11710,"Sweden Democrats",12.857,316,15.506,11.5585996989765,3.25069001826419,8.30790968071233
129,"Sweden","14/09/2014",11810,"Centre Party",6.113,380,3.684,1.93633036728512,4.52972286356959,-2.59339249628447
209,"Norway","13/09/1993",12320,"Norwegian Labour Party",36.911,1162,2.323,7.15636542491269,3.36272794580091,3.79363747911177
210,"Norway","13/09/1993",12420,"Liberal Party",3.614,1200,7.25,0.789266511074178,5.12289677091964,-4.33363025984546
211,"Norway","13/09/1993",12520,"Christian People’s Party",7.875,980,21.224,16.1707366585584,3.84877694771873,12.3219597108397
212,"Norway","13/09/1993",12620,"Conservative Party",17.034,1084,6.919,0.527629583992606,5.99963538361737,-5.47200579962476
213,"Norway","13/09/1993",12810,"Centre Party",16.742,2014,8.044,1.91313638455424,5.65387710294836,-3.74074071839412
214,"Norway","13/09/1993",12951,"Progress Party",6.275,1602,6.804,0.33476753553349,5.2979329273761,-4.96316539184261
215,"Norway","16/09/1997",12221,"Socialist Left Party",6.01,3379,3.314,3.95340571239524,3.9638839074231,-0.0104781950278645
216,"Norway","16/09/1997",12320,"Norwegian Labour Party",35,3633,4.1,4.57929145728643,3.61370984035657,0.965581616929859
217,"Norway","16/09/1997",12420,"Liberal Party",4.45,1469,3.879,3.29428642671292,3.99550505700075,-0.701218630287831
218,"Norway","16/09/1997",12520,"Christian People’s Party",13.66,1341,16.854,11.4499309887992,2.73152961278604,8.71840137601319
219,"Norway","16/09/1997",12620,"Conservative Party",14.34,1246,8.026,1.1792161505768,4.44802673293686,-3.26881058236006
220,"Norway","16/09/1997",12810,"Centre Party",7.93,2729,5.864,1.2611010590356,4.204646571186,-2.9435455121504
221,"Norway","16/09/1997",12951,"Progress Party",15.3,2070,6.956,0.0780175697260104,4.69359002629087,-4.61557245656486
222,"Norway","10/09/2001",12221,"Socialist Left Party",12.548,2342,1.878,2.22341637505334,1.65242205646471,0.57099431858863
223,"Norway","10/09/2001",12320,"Norwegian Labour Party",24.293,2860,2.378,1.92218576917604,1.66112373337882,0.26106203579722
224,"Norway","10/09/2001",12420,"Liberal Party",3.905,2632,1.406,2.50377495642966,1.69478239570987,0.808992560719793
225,"Norway","10/09/2001",12520,"Christian People’s Party",12.405,3129,8.852,5.8074547579055,1.11226353323237,4.69519122467313
226,"Norway","10/09/2001",12620,"Conservative Party",21.208,1328,3.992,0.239284138777179,2.15865429241274,-1.91937015363556
227,"Norway","10/09/2001",12810,"Centre Party",5.563,3378,3.997,0.202533741573033,1.82355200483991,-1.62101826326688
228,"Norway","10/09/2001",12951,"Progress Party",14.641,2362,3.853,0.0551591676884966,2.03467428569099,-1.9795151180025
229,"Norway","12/09/2005",12221,"Socialist Left Party",8.83,2195,2.46,0.515946447032093,1.80049672790315,-1.28455028087106
230,"Norway","12/09/2005",12320,"Norwegian Labour Party",32.69,1664,1.322,2.42557743318008,1.30526619356832,1.12031123961176
231,"Norway","12/09/2005",12420,"Liberal Party",5.917,2761,2.608,0.341789416965405,1.7706807233586,-1.42889130639319
232,"Norway","12/09/2005",12520,"Christian People’s Party",6.78,1666,6.723,4.0796744823758,1.50301791407672,2.57665656829908
233,"Norway","12/09/2005",12620,"Conservative Party",14.098,1622,4.623,1.98268640719214,1.63240110966291,0.350285297529229
234,"Norway","12/09/2005",12810,"Centre Party",6.484,3771,2.28,0.695467417645041,1.7542698527731,-1.05880243512806
235,"Norway","12/09/2005",12951,"Progress Party",22.056,2638,3.526,0.773155309562962,1.95178836740127,-1.17863305783831
236,"Norway","14/09/2009",12221,"Socialist Left Party",6.2,2825,1.381,3.02718685854162,1.86939167580184,1.15779518273978
237,"Norway","14/09/2009",12320,"Norwegian Labour Party",35.379,2125,3.105,1.74465983010885,2.05658230436292,-0.311922474254072
238,"Norway","14/09/2009",12420,"Liberal Party",3.882,2110,0.569,3.79781588327856,1.86609670753588,1.93171917574268
239,"Norway","14/09/2009",12520,"Christian People’s Party",5.544,3042,9.401,5.49902754013318,1.7283193750633,3.77070816506988
